staffID,staffFirstName,staffLastName,dept,position,country,email,reportingId,role,password,handoverFrom
130002,Jack,Sim,CEO,MD,Singapore,jack.sim@allinone.com.sg,130002,1,123,
140001,Derek,Tan,Sales,Director,Singapore,derek.tan@allinone.com.sg,130002,1,123,
150008,Eric,Loh,Solutioning,Director,Singapore,eric.loh@allinone.com.sg,130002,1,123,
151408,Philip,Lee,Engineering,Director,Singapore,philip.lee@allinone.com.sg,130002,1,123,
140894,Rahim,Khalid,Sales,Sales Manager,Singapore,rahim.khalid@allinone.com.sg,140001,3,123,
140002,Susan,Goh,Sales,Account Manager,Singapore,susan.goh@allinone.com.sg,140894,2,123,
140003,Janice,Chan,Sales,Account Manager,Singapore,janice.chan@allinone.com.sg,140894,2,123,
140004,Mary,Teo,Sales,Account Manager,Singapore,mary.teo@allinone.com.sg,140894,2,123,
140015,Oliva,Lim,Sales,Account Manager,Singapore,oliva.lim@allinone.com.sg,140894,2,123,
140025,Emma,Heng,Sales,Account Manager,Singapore,emma.heng@allinone.com.sg,140894,2,123,
140036,Charlotte,Wong,Sales,Account Manager,Singapore,charlotte.wong@allinone.com.sg,140894,2,123,
140078,Amelia,Ong,Sales,Account Manager,Singapore,amelia.ong@allinone.com.sg,140894,2,123,
140102,Eva,Yong,Sales,Account Manager,Singapore,eva.yong@allinone.com.sg,140894,2,123,
140108,Liam,The,Sales,Account Manager,Singapore,liam.the@allinone.com.sg,140894,2,123,
140115,Noah,Ng,Sales,Account Manager,Singapore,noah.ng@allinone.com.sg,140894,2,123,
140525,Oliver,Tan,Sales,Account Manager,Singapore,oliver.tan@allinone.com.sg,140894,2,123,
140736,William,Fu,Sales,Account Manager,Singapore,william.fu@allinone.com.sg,140894,2,123,
140878,James,Tong,Sales,Account Manager,Singapore,james.tong@allinone.com.sg,140894,2,123,
140880,Heng,Chan,Sales,Account Manager,Singapore,heng.chan@allinone.com.sg,140008,2,123,
140881,Rina,Tan,Sales,Account Manager,Singapore,rina.tan@allinone.com.sg,140008,2,123,
140882,Boun,Souk,Sales,Account Manager,Singapore,boun.souk@allinone.com.sg,140008,2,123,
140883,Aung,Kyaw,Sales,Account Manager,Singapore,aung.kyaw@allinone.com.sg,140008,2,123,
140886,Thuy,Nguyen,Sales,Account Manager,Singapore,thuy.nguyen@allinone.com.sg,140008,2,123,
140887,Rajesh,Kumar,Sales,Account Manager,Singapore,rajesh.kumar@allinone.com.sg,140008,2,123,
140888,Koh,Lim,Sales,Account Manager,Singapore,koh.lim@allinone.com.sg,140008,2,123,
140889,Somchai,Somboon,Sales,Account Manager,Singapore,somchai.somboon@allinone.com.sg,140008,2,123,
140890,Seng,Lee,Sales,Account Manager,Singapore,seng.lee@allinone.com.sg,140008,2,123,
140891,Anh,Tran,Sales,Account Manager,Singapore,anh.tran@allinone.com.sg,140008,2,123,
140892,Ratana,Chen,Sales,Account Manager,Singapore,ratana.chen@allinone.com.sg,140008,2,123,
140893,Bui,Nguyen,Sales,Account Manager,Singapore,bui.nguyen@allinone.com.sg,140103,2,123,
140895,Dewi,Putri,Sales,Account Manager,Singapore,dewi.putri@allinone.com.sg,140103,2,123,
140898,Sokha,Seng,Sales,Account Manager,Singapore,sokha.seng@allinone.com.sg,140103,2,123,
140900,Tuan,Nguyen,Sales,Account Manager,Singapore,tuan.nguyen@allinone.com.sg,140103,2,123,
140901,Bao,Luu,Sales,Account Manager,Singapore,bao.luu@allinone.com.sg,140103,2,123,
140940,Siti,Ahmad,Sales,Account Manager,Singapore,siti.ahmad@allinone.com.sg,140879,2,123,
140941,Chandra,Rai,Sales,Account Manager,Singapore,chandra.rai@allinone.com.sg,140879,2,123,
140942,Ratana,Keo,Sales,Account Manager,Singapore,ratana.keo@allinone.com.sg,140879,2,123,
140945,Wai,Yong,Sales,Account Manager,Singapore,wai.yong@allinone.com.sg,140879,2,123,
140947,Thi,Pham,Sales,Account Manager,Singapore,thi.pham@allinone.com.sg,140879,2,123,
140948,Nara,Sok,Sales,Account Manager,Singapore,nara.sok@allinone.com.sg,140879,2,123,
140008,Jaclyn,Lee,Sales,Sales Manager,Singapore,jaclyn.lee@allinone.com.sg,140001,3,123,
140927,Chin,Lim,Sales,Account Manager,Hong Kong,chin.lim@allinone.com.hk,140879,2,123,
140928,Sok,Chhay,Sales,Account Manager,Hong Kong,sok.chhay@allinone.com.hk,140879,2,123,
140929,Tat,Nguyen,Sales,Account Manager,Hong Kong,tat.nguyen@allinone.com.hk,140879,2,123,
140933,Hlaing,Sithu,Sales,Account Manager,Hong Kong,hlaing.sithu@allinone.com.hk,140879,2,123,
140934,Santhi,Perumal,Sales,Account Manager,Hong Kong,santhi.perumal@allinone.com.hk,140879,2,123,
140935,Hakim,Siregar,Sales,Account Manager,Hong Kong,hakim.siregar@allinone.com.hk,140879,2,123,
140937,Sirirat,Chaiyaporn,Sales,Account Manager,Hong Kong,sirirat.chaiyaporn@allinone.com.hk,140879,2,123,
140938,Chinh,Tran,Sales,Account Manager,Hong Kong,chinh.tran@allinone.com.hk,140879,2,123,
140103,Sophia,Toh,Sales,Sales Manager,Singapore,sophia.toh@allinone.com.sg,140001,3,123,
140910,Rina,Siriporn,Sales,Account Manager,Indonesia ,rina.siriporn@allinone.com.id,140879,2,123,
140911,Minh,Ly,Sales,Account Manager,Indonesia ,minh.ly@allinone.com.id,140944,2,123,
140912,Chandara,Kim,Sales,Account Manager,Indonesia ,chandara.kim@allinone.com.id,140944,2,123,
140917,Heng,Phan,Sales,Account Manager,Indonesia ,heng.phan@allinone.com.id,140944,2,123,
140918,Nara,Khun,Sales,Account Manager,Indonesia ,nara.khun@allinone.com.id,140944,2,123,
140919,Priya,Malik,Sales,Account Manager,Indonesia ,priya.malik@allinone.com.id,140944,2,123,
140879,Siti,Abdullah,Sales,Sales Manager,Singapore,siti.abdullah@allinone.com.sg,140001,3,123,
140903,Amara,Singh,Sales,Account Manager,Malaysia,amara.singh@allinone.com.my,140944,2,123,
140904,Srey,Mao,Sales,Account Manager,Malaysia,srey.mao@allinone.com.my,140944,2,123,
140905,Phuc,Le,Sales,Account Manager,Malaysia,phuc.le@allinone.com.my,140944,2,123,
140908,Arifin,Saputra,Sales,Account Manager,Malaysia,arifin.saputra@allinone.com.my,140944,2,123,
140909,Siti,Salleh,Sales,Account Manager,Malaysia,siti.salleh@allinone.com.my,140944,2,123,
140944,Yee,Lim,Sales,Sales Manager,Singapore,yee.lim@allinone.com.sg,140001,3,123,
140923,Ngoc,Trinh,Sales,Account Manager,Vietnam,ngoc.trinh@allinone.com.vn,140944,2,123,
140924,Manoj,Kumar,Sales,Account Manager,Vietnam,manoj.kumar@allinone.com.vn,140944,2,123,
140925,Anh,Pham,Sales,Account Manager,Vietnam,anh.pham@allinone.com.vn,140944,2,123,
140926,Somsak,Somsri,Sales,Account Manager,Vietnam,somsak.somsri@allinone.com.vn,140944,2,123,
150143,John,Lim,Engineering,Senior Engineers,Singapore,john.lim@allinone.com.sg,151408,2,123,
150065,Noah,Goh,Engineering,Senior Engineers,Singapore,noah.goh@allinone.com.sg,151408,2,123,
150075,Liam,Tan,Engineering,Senior Engineers,Singapore,liam.tan@allinone.com.sg,151408,2,123,
150076,Oliver,Chan,Engineering,Junior Engineers,Singapore,oliver.chan@allinone.com.sg,151408,2,123,
150085,Michael,Ng,Engineering,Junior Engineers,Singapore,michael.ng@allinone.com.sg,151408,2,123,
150095,Alexander,The,Engineering,Junior Engineers,Singapore,alexander.the@allinone.com.sg,151408,2,123,
150096,Ethan,Tan,Engineering,Junior Engineers,Singapore,ethan.tan@allinone.com.sg,151408,2,123,
150115,Jaclyn,Poh,Engineering,Junior Engineers,Singapore,jaclyn.poh@allinone.com.sg,151408,2,123,
150118,William,Teo,Engineering,Junior Engineers,Singapore,william.teo@allinone.com.sg,151408,2,123,
150125,Mary,Ma,Engineering,Junior Engineers,Singapore,mary.ma@allinone.com.sg,151408,2,123,
150126,Oliva,Lam,Engineering,Junior Engineers,Singapore,oliva.lam@allinone.com.sg,151408,2,123,
150138,Daniel,Fu,Engineering,Junior Engineers,Singapore,daniel.fu@allinone.com.sg,151408,2,123,
150142,James,Lee,Engineering,Junior Engineers,Singapore,james.lee@allinone.com.sg,151408,2,123,
150245,Benjamin,Tan,Engineering,Call Centre,Singapore,benjamin.tan@allinone.com.sg,151408,2,123,
150148,Jack,Heng,Engineering,Call Centre,Singapore,jack.heng@allinone.com.sg,151408,2,123,
150155,Derek,Wong,Engineering,Call Centre,Singapore,derek.wong@allinone.com.sg,151408,2,123,
150162,Jacob,Tong,Engineering,Call Centre,Singapore,jacob.tong@allinone.com.sg,151408,2,123,
150163,Logan,Loh,Engineering,Call Centre,Singapore,logan.loh@allinone.com.sg,151408,2,123,
150165,Jacob,Ming,Engineering,Call Centre,Singapore,jacob.ming@allinone.com.sg,151408,2,123,
150166,James,Fu,Engineering,Call Centre,Singapore,james.fu@allinone.com.sg,151408,2,123,
150168,John,Fu,Engineering,Call Centre,Singapore,john.fu@allinone.com.sg,151408,2,123,
150175,Jack,Tan,Engineering,Call Centre,Singapore,jack.tan@allinone.com.sg,151408,2,123,
150192,Derek,Heng,Engineering,Call Centre,Singapore,derek.heng@allinone.com.sg,151408,2,123,
150193,Benjamin,Wong,Engineering,Call Centre,Singapore,benjamin.wong@allinone.com.sg,151408,2,123,
150198,Lucas,Ong,Engineering,Call Centre,Singapore,lucas.ong@allinone.com.sg,151408,2,123,
150205,Ethan,Yong,Engineering,Call Centre,Singapore,ethan.yong@allinone.com.sg,151408,2,123,
150208,Daniel,Tong,Engineering,Call Centre,Singapore,daniel.tong@allinone.com.sg,151408,2,123,
150215,Jacob,Lee,Engineering,Call Centre,Singapore,jacob.lee@allinone.com.sg,151408,2,123,
150216,Logan,Lim,Engineering,Call Centre,Singapore,logan.lim@allinone.com.sg,151408,2,123,
150232,Jackson,Loh,Engineering,Call Centre,Singapore,jackson.loh@allinone.com.sg,151408,2,123,
150233,Aiden,Tan,Engineering,Call Centre,Singapore,aiden.tan@allinone.com.sg,151408,2,123,
150238,Samuel,Tong,Engineering,Call Centre,Singapore,samuel.tong@allinone.com.sg,151408,2,123,
150345,William,Heng,Engineering,Senior Engineers,Singapore,william.heng@allinone.com.sg,151408,2,123,
150258,Daniel,Heng,Engineering,Senior Engineers,Singapore,daniel.heng@allinone.com.sg,151408,2,123,
150265,Jaclyn,Tong,Engineering,Senior Engineers,Singapore,jaclyn.tong@allinone.com.sg,151408,2,123,
150275,Mary,Fu,Engineering,Junior Engineers,Singapore,mary.fu@allinone.com.sg,151408,2,123,
150276,Oliva,Loh,Engineering,Junior Engineers,Singapore,oliva.loh@allinone.com.sg,151408,2,123,
150282,Jacob,Wong,Engineering,Junior Engineers,Singapore,jacob.wong@allinone.com.sg,151408,2,123,
150283,Logan,Ong,Engineering,Junior Engineers,Singapore,logan.ong@allinone.com.sg,151408,2,123,
150288,Jackson,Yong,Engineering,Junior Engineers,Singapore,jackson.yong@allinone.com.sg,151408,2,123,
150295,Aiden,Toh,Engineering,Junior Engineers,Singapore,aiden.toh@allinone.com.sg,151408,2,123,
150318,Emma,Tan,Engineering,Junior Engineers,Singapore,emma.tan@allinone.com.sg,151408,2,123,
150342,Charlotte,Tan,Engineering,Junior Engineers,Singapore,charlotte.tan@allinone.com.sg,151408,2,123,
150343,Amelia,Tan,Engineering,Junior Engineers,Singapore,amelia.tan@allinone.com.sg,151408,2,123,
150555,Jaclyn,Wong,Engineering,Call Centre,Singapore,jaclyn.wong@allinone.com.sg,151408,2,123,
150348,Eva,Goh,Engineering,Call Centre,Singapore,eva.goh@allinone.com.sg,151408,2,123,
150355,Sophia,Chan,Engineering,Call Centre,Singapore,sophia.chan@allinone.com.sg,151408,2,123,
150356,James,Wong,Engineering,Call Centre,Singapore,james.wong@allinone.com.sg,151408,2,123,
150398,John,Ong,Engineering,Call Centre,Singapore,john.ong@allinone.com.sg,151408,2,123,
150422,Jack,Yong,Engineering,Call Centre,Singapore,jack.yong@allinone.com.sg,151408,2,123,
150423,Derek,Toh,Engineering,Call Centre,Singapore,derek.toh@allinone.com.sg,151408,2,123,
150428,Benjamin,The,Engineering,Call Centre,Singapore,benjamin.the@allinone.com.sg,151408,2,123,
150435,Lucas,Ng,Engineering,Call Centre,Singapore,lucas.ng@allinone.com.sg,151408,2,123,
150445,Ethan,Loh,Engineering,Call Centre,Singapore,ethan.loh@allinone.com.sg,151408,2,123,
150446,Daniel,Tan,Engineering,Call Centre,Singapore,daniel.tan@allinone.com.sg,151408,2,123,
150488,Jacob,Tan,Engineering,Call Centre,Singapore,jacob.tan@allinone.com.sg,151408,2,123,
150512,Logan,Tan,Engineering,Call Centre,Singapore,logan.tan@allinone.com.sg,151408,2,123,
150513,Jackson,Goh,Engineering,Call Centre,Singapore,jackson.goh@allinone.com.sg,151408,2,123,
150518,Aiden,Chan,Engineering,Call Centre,Singapore,aiden.chan@allinone.com.sg,151408,2,123,
150525,Samuel,Teo,Engineering,Call Centre,Singapore,samuel.teo@allinone.com.sg,151408,2,123,
151410,Phuong,Dinh,Engineering,Operation Planning Team,Singapore,phuong.dinh@allinone.com.sg,151408,2,123,
150866,Henry,Chan,Engineering,Senior Engineers,Singapore,henry.chan@allinone.com.sg,151408,2,123,
150565,Benjamin,Ong,Engineering,Senior Engineers,Singapore,benjamin.ong@allinone.com.sg,151408,2,123,
150566,Oliva,Ong,Engineering,Senior Engineers,Singapore,oliva.ong@allinone.com.sg,151408,2,123,
150585,Samuel,Tan,Engineering,Junior Engineers,Singapore,samuel.tan@allinone.com.sg,151408,2,123,
150608,Emma,Yong,Engineering,Junior Engineers,Singapore,emma.yong@allinone.com.sg,151408,2,123,
150615,Sophie,Toh,Engineering,Junior Engineers,Singapore,sophie.toh@allinone.com.sg,151408,2,123,
150632,Charlotte,Toh,Engineering,Junior Engineers,Singapore,charlotte.toh@allinone.com.sg,151408,2,123,
150633,Amelia,The,Engineering,Junior Engineers,Singapore,amelia.the@allinone.com.sg,151408,2,123,
150638,Eva,Ng,Engineering,Junior Engineers,Singapore,eva.ng@allinone.com.sg,151408,2,123,
150645,Sophia,Tan,Engineering,Junior Engineers,Singapore,sophia.tan@allinone.com.sg,151408,2,123,
150655,Lucas,Goh,Engineering,Junior Engineers,Singapore,lucas.goh@allinone.com.sg,151408,2,123,
150695,William,Tan,Engineering,Junior Engineers,Singapore,william.tan@allinone.com.sg,151408,2,123,
150705,Samuel,The,Engineering,Junior Engineers,Singapore,samuel.the@allinone.com.sg,151408,2,123,
150765,Liam,Teo,Engineering,Junior Engineers,Singapore,liam.teo@allinone.com.sg,151408,2,123,
150776,Lucas,Yong,Engineering,Junior Engineers,Singapore,lucas.yong@allinone.com.sg,151408,2,123,
150796,Susan,Teo,Engineering,Junior Engineers,Singapore,susan.teo@allinone.com.sg,151408,2,123,
150826,LiamMing,Fu,Engineering,Junior Engineers,Singapore,liamming.fu@allinone.com.sg,151408,2,123,
150845,Henry,Fu,Engineering,Junior Engineers,Singapore,henry.fu@allinone.com.sg,151408,2,123,
150938,Jani,Tan,Engineering,Junior Engineers,Singapore,jani.tan@allinone.com.sg,151408,2,123,
150968,Noah,Lim,Engineering,Junior Engineers,Singapore,noah.lim@allinone.com.sg,151408,2,123,
150976,Noah,Lee,Engineering,Junior Engineers,Singapore,noah.lee@allinone.com.sg,151408,2,123,
150916,Susan,Ng,Engineering,Operation Planning Team,Singapore,susan.ng@allinone.com.sg,151408,2,123,
150918,Henry,Toh,Engineering,Operation Planning Team,Singapore,henry.toh@allinone.com.sg,151408,2,123,
150935,Susan,Lee,Engineering,Operation Planning Team,Singapore,susan.lee@allinone.com.sg,151408,2,123,
151008,Alexander,Teo,Engineering,Operation Planning Team,Singapore,alexander.teo@allinone.com.sg,151408,2,123,
151055,Liam,Fu,Engineering,Operation Planning Team,Singapore,liam.fu@allinone.com.sg,151408,2,123,
151056,Alexander,Fu,Engineering,Operation Planning Team,Singapore,alexander.fu@allinone.com.sg,151408,2,123,
151058,Janice,Tan,Engineering,Operation Planning Team,Singapore,janice.tan@allinone.com.sg,151408,2,123,
151118,Oliver,Lim,Engineering,Operation Planning Team,Singapore,oliver.lim@allinone.com.sg,151408,2,123,
151146,Janice,Lim,Engineering,Operation Planning Team,Singapore,janice.lim@allinone.com.sg,151408,2,123,
151198,Michael,Tong,Engineering,Operation Planning Team,Singapore,michael.tong@allinone.com.sg,151408,2,123,
